Team,HAS,HAC,AAS,AAC
Arsenal,2.789473684210526,1.3157894736842106,1.8421052631578947,0.9473684210526315
Aston Villa,1.736842105263158,1.105263157894737,0.9473684210526315,1.3157894736842106
Bournemouth,1.0526315789473684,1.4736842105263157,0.8947368421052632,2.263157894736842
Brentford,1.8421052631578947,0.9473684210526315,1.2105263157894737,1.4736842105263157
Brighton,1.9473684210526316,1.105263157894737,1.8421052631578947,1.6842105263157894
Chelsea,1.0526315789473684,1.0,0.9473684210526315,1.4736842105263157
Crystal Palace,1.105263157894737,1.2105263157894737,1.0,1.368421052631579
Everton,0.8421052631578947,1.4210526315789473,0.9473684210526315,1.5789473684210527
Fulham,1.631578947368421,1.5263157894736843,1.263157894736842,1.263157894736842
Leeds,1.368421052631579,1.9473684210526316,1.1578947368421053,2.1578947368421053
Leicester,1.2105263157894737,1.4210526315789473,1.4736842105263157,2.1578947368421053
Liverpool,2.4210526315789473,0.8947368421052632,1.5263157894736843,1.5789473684210527
Man City,3.1578947368421053,0.8947368421052632,1.7894736842105263,0.8421052631578947
Man United,1.894736842105263,0.5263157894736842,1.1578947368421053,1.736842105263158
Newcastle,1.894736842105263,0.7368421052631579,1.6842105263157894,1.0
Nott'm Forest,1.4210526315789473,1.263157894736842,0.5789473684210527,2.3157894736842106
Southampton,1.0,1.9473684210526316,0.8947368421052632,1.894736842105263
Tottenham,1.9473684210526316,1.3157894736842106,1.736842105263158,2.0
West Ham,1.368421052631579,1.263157894736842,0.8421052631578947,1.631578947368421
Wolves,1.0,1.0526315789473684,0.631578947368421,2.0
